date,market,department,sales,gross,labor
2025-01-06,m1,produce,4474.18,1544.83,525.01
2025-01-06,m1,meat,3954.94,1119.12,448.69
2025-01-06,m1,seafood,935.74,279.41,108.07
2025-01-06,m1,deli,2845.8,1281.02,492.84
2025-01-06,m1,bakery,1952.5,985.03,313.52
2025-01-06,m1,grocery,12205.6,2699.61,750.46
2025-01-06,m1,dairy,3769.57,921.3,191.47
2025-01-06,m1,frozen,2641.29,698.41,136.9
2025-01-06,m1,floral,600.07,281.0,81.3
2025-01-06,m1,hba,2188.29,836.73,156.94
2025-01-06,m2,produce,4084.43,1432.66,508.68
2025-01-06,m2,meat,3244.15,911.2,366.26
2025-01-06,m2,seafood,839.49,257.31,101.36
2025-01-06,m2,deli,2539.88,1111.8,447.23
2025-01-06,m2,bakery,1675.12,816.44,262.29
2025-01-06,m2,grocery,10247.28,2224.37,621.51
2025-01-06,m2,dairy,3324.91,791.76,162.38
2025-01-06,m2,frozen,2228.38,617.43,112.74
2025-01-06,m2,floral,524.19,246.65,74.73
2025-01-06,m2,hba,1737.07,655.31,126.36
2025-01-06,m3,produce,5477.52,1923.68,667.01
2025-01-06,m3,meat,4595.45,1308.03,494.54
2025-01-06,m3,seafood,1069.95,317.43,126.01
2025-01-06,m3,deli,3270.09,1510.65,606.34
2025-01-06,m3,bakery,2272.19,1146.69,360.52
2025-01-06,m3,grocery,15038.74,3300.35,885.35
2025-01-06,m3,dairy,4444.5,1070.61,218.01
2025-01-06,m3,frozen,3112.91,860.55,154.39
2025-01-06,m3,floral,681.85,337.06,95.53
2025-01-06,m3,hba,2332.53,862.28,158.18
2025-01-06,m4,produce,3330.01,1185.93,397.11
2025-01-06,m4,meat,2586.46,719.07,295.8
2025-01-06,m4,seafood,685.23,211.38,84.6
2025-01-06,m4,deli,1949.6,888.94,356.03
2025-01-06,m4,bakery,1414.4,697.31,228.86
2025-01-06,m4,grocery,8448.21,1851.33,505.02
2025-01-06,m4,dairy,2901.64,712.1,142.34
2025-01-06,m4,frozen,1879.03,497.56,97.05
2025-01-06,m4,floral,442.85,210.0,62.69
2025-01-06,m4,hba,1496.49,556.82,106.95
2025-01-06,m5,produce,4480.01,1594.22,538.91
2025-01-06,m5,meat,3487.09,966.08,368.83
2025-01-06,m5,seafood,967.05,296.71,119.12
2025-01-06,m5,deli,2728.23,1195.14,505.93
2025-01-06,m5,bakery,1997.95,974.14,319.31
2025-01-06,m5,grocery,11414.92,2550.55,699.46
2025-01-06,m5,dairy,3627.0,869.19,182.07
2025-01-06,m5,frozen,2490.05,687.34,123.74
2025-01-06,m5,floral,562.83,270.8,80.25
2025-01-06,m5,hba,1949.02,732.26,141.84
2025-01-06,m6,produce,5006.09,1745.62,601.57
2025-01-06,m6,meat,3903.01,1074.79,423.77
2025-01-06,m6,seafood,1033.92,305.15,121.29
2025-01-06,m6,deli,2942.69,1334.63,518.2
2025-01-06,m6,bakery,2199.48,1123.47,339.84
2025-01-06,m6,grocery,12839.04,2853.23,752.73
2025-01-06,m6,dairy,4010.43,987.65,201.66
2025-01-06,m6,frozen,2810.68,771.84,143.99
2025-01-06,m6,floral,620.71,290.74,86.42
2025-01-06,m6,hba,2203.57,835.7,157.08
2025-01-07,m1,produce,4344.3,1564.68,504.57
2025-01-07,m1,meat,3443.36,954.84,389.73
2025-01-07,m1,seafood,951.53,280.15,113.71
2025-01-07,m1,deli,2663.2,1182.52,469.78
2025-01-07,m1,bakery,1907.58,950.53,314.04
2025-01-07,m1,grocery,11649.07,2493.69,726.86
2025-01-07,m1,dairy,3783.23,933.52,195.61
2025-01-07,m1,frozen,2546.29,673.73,127.17
2025-01-07,m1,floral,533.32,254.47,72.03
2025-01-07,m1,hba,1928.5,754.17,132.46
2025-01-07,m2,produce,3732.84,1302.97,445.18
2025-01-07,m2,meat,3090.8,891.15,341.51
2025-01-07,m2,seafood,847.77,249.06,100.08
2025-01-07,m2,deli,2388.48,1079.92,431.38
2025-01-07,m2,bakery,1594.17,775.91,256.79
2025-01-07,m2,grocery,9854.93,2213.97,575.09
2025-01-07,m2,dairy,3254.55,761.41,158.64
2025-01-07,m2,frozen,2111.29,576.04,103.33
2025-01-07,m2,floral,448.94,220.54,61.58
2025-01-07,m2,hba,1674.99,641.05,116.49
2025-01-07,m3,produce,4951.9,1735.53,614.89
2025-01-07,m3,meat,3880.54,1100.65,417.94
2025-01-07,m3,seafood,1110.77,336.66,131.16
2025-01-07,m3,deli,3030.05,1384.13,526.76
2025-01-07,m3,bakery,2095.85,1079.27,348.65
2025-01-07,m3,grocery,12760.53,2759.0,751.25
2025-01-07,m3,dairy,4391.64,1078.08,226.24
2025-01-07,m3,frozen,2792.64,738.53,143.36
2025-01-07,m3,floral,644.24,311.31,93.71
2025-01-07,m3,hba,2279.51,840.63,163.61
2025-01-07,m4,produce,2929.22,1035.28,363.85
2025-01-07,m4,meat,2345.04,641.46,249.84
2025-01-07,m4,seafood,686.88,203.25,83.12
2025-01-07,m4,deli,1919.81,848.55,349.28
2025-01-07,m4,bakery,1250.85,624.99,206.63
2025-01-07,m4,grocery,8394.33,1801.58,500.58
2025-01-07,m4,dairy,2504.94,583.28,127.96
2025-01-07,m4,frozen,1745.96,464.68,88.98
2025-01-07,m4,floral,386.31,184.62,51.96
2025-01-07,m4,hba,1308.44,508.64,94.55
2025-01-07,m5,produce,4075.25,1454.97,492.26
2025-01-07,m5,meat,3187.11,872.44,345.2
2025-01-07,m5,seafood,964.25,294.42,119.05
2025-01-07,m5,deli,2651.69,1172.5,467.74
2025-01-07,m5,bakery,1669.55,848.81,275.34
2025-01-07,m5,grocery,10908.11,2417.16,636.4
2025-01-07,m5,dairy,3626.7,889.45,188.24
2025-01-07,m5,frozen,2410.11,665.62,115.92
